Date : 2024-01-05 00:25:49
Directory : c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet
Total : 1797 files,  655447 codes, 28101 comments, 71064 blanks, all 754612 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\dateutil-stubs\tz\tz.pyi                                                   | Python           |         95 |          4 |         18 |        117 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\dateutil-stubs\utils.pyi                                                   | Python           |          4 |          0 |          2 |          6 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\dateutil-stubs\zoneinfo\__init__.pyi                                       | Python           |         13 |          0 |          5 |         18 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\dateutil-stubs\zoneinfo\rebuild.pyi                                        | Python           |         10 |          0 |          2 |         12 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\dateutil\__init__.py                                                       | Python           |          6 |          1 |          2 |          9 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\dateutil\_common.py                                                        | Python           |         33 |          1 |         10 |         44 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\dateutil\_version.py                                                       | Python           |          2 |          3 |          1 |          6 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\dateutil\easter.py                                                         | Python           |         55 |         15 |         20 |         90 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\dateutil\parser\__init__.py                                                | Python           |         38 |          4 |         20 |         62 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\dateutil\parser\_parser.py                                                 | Python           |      1,176 |        153 |        285 |      1,614 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\dateutil\parser\isoparser.py                                               | Python           |        296 |         17 |        104 |        417 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\dateutil\relativedelta.py                                                  | Python           |        510 |         17 |         73 |        600 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\dateutil\rrule.py                                                          | Python           |      1,456 |         71 |        211 |      1,738 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\dateutil\tz\__init__.py                                                    | Python           |          8 |          1 |          4 |         13 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\dateutil\tz\_common.py                                                     | Python           |        301 |         14 |        105 |        420 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\dateutil\tz\_factories.py                                                  | Python           |         53 |          4 |         24 |         81 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\dateutil\tz\tz.py                                                          | Python           |      1,289 |        174 |        387 |      1,850 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\dateutil\tz\win.py                                                         | Python           |        265 |         18 |         88 |        371 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\dateutil\tzwin.py                                                          | Python           |          1 |          1 |          1 |          3 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\dateutil\utils.py                                                          | Python           |         53 |          1 |         18 |         72 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\dateutil\zoneinfo\__init__.py                                              | Python           |        118 |         10 |         40 |        168 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\dateutil\zoneinfo\rebuild.py                                               | Python           |         57 |          1 |         18 |         76 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet\__init__.py                                                           | Python           |          1 |          0 |          1 |          2 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet\__pyinstaller\__init__.py                                             | Python           |          3 |          0 |          3 |          6 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet\__pyinstaller\config.py                                               | Python           |          1 |          0 |          1 |          2 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet\__pyinstaller\hook-flet.py                                            | Python           |         10 |          1 |          5 |         16 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet\__pyinstaller\macos_utils.py                                          | Python           |         85 |          7 |         29 |        121 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet\__pyinstaller\rthooks\pyi_rth_localhost_fletd.py                      | Python           |          6 |          0 |          6 |         12 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet\__pyinstaller\utils.py                                                | Python           |         17 |          1 |          7 |         25 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet\__pyinstaller\win_utils.py                                            | Python           |         82 |          8 |         20 |        110 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet\async_websocket_connection.py                                         | Python           |        176 |          5 |         20 |        201 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet\auth\__init__.py                                                      | Python           |          1 |          0 |          1 |          2 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet\auth\providers\__init__.py                                            | Python           |          1 |          0 |          1 |          2 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet\bin\flet\data\flutter_assets\AssetManifest.json                       | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet\bin\flet\data\flutter_assets\FontManifest.json                        | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet\canvas\__init__.py                                                    | Python           |          1 |          0 |          1 |          2 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet\cli\cli.py                                                            | Python           |         56 |         13 |         17 |         86 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet\cli\commands\base.py                                                  | Python           |         43 |          6 |          9 |         58 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet\cli\commands\create.py                                                | Python           |         58 |          2 |         12 |         72 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet\cli\commands\options.py                                               | Python           |         20 |          0 |          8 |         28 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet\cli\commands\pack.py                                                  | Python           |        225 |         12 |         22 |        259 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet\cli\commands\publish.py                                               | Python           |        190 |         16 |         25 |        231 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet\cli\commands\run.py                                                   | Python           |        324 |          4 |         27 |        355 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet\constants.py                                                          | Python           |          2 |          0 |          1 |          3 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet\matplotlib_chart.py                                                   | Python           |          1 |          0 |          1 |          2 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet\plotly_chart.py                                                       | Python           |          1 |          0 |          1 |          2 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet\reconnecting_websocket.py                                             | Python           |         76 |          2 |         13 |         91 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet\security.py                                                           | Python           |         43 |          0 |         14 |         57 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet\sync_websocket_connection.py                                          | Python           |        142 |          3 |         12 |        157 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet\utils\__init__.py                                                     | Python           |          4 |          0 |          4 |          8 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet\version.py                                                            | Python           |         44 |          2 |         14 |         60 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet\web\assets\AssetManifest.bin.json                                     | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet\web\assets\AssetManifest.json                                         | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet\web\assets\FontManifest.json                                          | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet\web\flutter.js                                                        | JavaScript       |        202 |        147 |         29 |        378 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet\web\flutter_service_worker.js                                         | JavaScript       |        174 |         31 |          3 |        208 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet\web\index.html                                                        | HTML             |        104 |          7 |         20 |        131 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet\web\main.dart.js                                                      | JavaScript       |    162,364 |          0 |          1 |    162,365 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet\web\manifest.json                                                     | JSON             |         35 |          0 |          1 |         36 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet\web\python-worker.js                                                  | JavaScript       |         41 |          2 |          4 |         47 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet\web\python.js                                                         | JavaScript       |         21 |          1 |          6 |         28 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet\web\version.json                                                      | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\__init__.py                                                      | Python           |        235 |          0 |          1 |        236 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\alert_dialog.py                                                  | Python           |        187 |         15 |         46 |        248 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\alignment.py                                                     | Python           |         15 |          0 |          5 |         20 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\animated_switcher.py                                             | Python           |        195 |          9 |         36 |        240 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\animation.py                                                     | Python           |        101 |          0 |          9 |        110 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\app_bar.py                                                       | Python           |        147 |         10 |         37 |        194 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\audio.py                                                         | Python           |        204 |         13 |         53 |        270 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\badge.py                                                         | Python           |        157 |         14 |         42 |        213 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\banner.py                                                        | Python           |        141 |         12 |         38 |        191 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\blur.py                                                          | Python           |         13 |          0 |          5 |         18 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\border.py                                                        | Python           |         26 |          0 |         11 |         37 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\border_radius.py                                                 | Python           |         32 |          0 |         11 |         43 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\bottom_app_bar.py                                                | Python           |        168 |         12 |         31 |        211 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\bottom_sheet.py                                                  | Python           |        152 |         14 |         39 |        205 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\buttons.py                                                       | Python           |         58 |          0 |         17 |         75 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\canvas\__init__.py                                               | Python           |         12 |          0 |          1 |         13 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\canvas\arc.py                                                    | Python           |         82 |          9 |         23 |        114 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\canvas\canvas.py                                                 | Python           |        130 |          7 |         21 |        158 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\canvas\circle.py                                                 | Python           |         50 |          5 |         15 |         70 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\canvas\color.py                                                  | Python           |         38 |          3 |         12 |         53 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\canvas\fill.py                                                   | Python           |         25 |          2 |          9 |         36 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\canvas\line.py                                                   | Python           |         58 |          6 |         17 |         81 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\canvas\oval.py                                                   | Python           |         58 |          6 |         17 |         81 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\canvas\path.py                                                   | Python           |        108 |          3 |         22 |        133 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\canvas\points.py                                                 | Python           |         49 |          4 |         15 |         68 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\canvas\rect.py                                                   | Python           |         68 |          7 |         19 |         94 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\canvas\shadow.py                                                 | Python           |         51 |          5 |         15 |         71 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\canvas\shape.py                                                  | Python           |         11 |          0 |          4 |         15 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\canvas\text.py                                                   | Python           |        116 |         12 |         30 |        158 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\card.py                                                          | Python           |        175 |         10 |         29 |        214 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\charts\bar_chart.py                                              | Python           |        251 |         20 |         47 |        318 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\charts\bar_chart_group.py                                        | Python           |         57 |          7 |         17 |         81 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\charts\bar_chart_rod.py                                          | Python           |        175 |         20 |         44 |        239 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\charts\bar_chart_rod_stack_item.py                               | Python           |         56 |          7 |         16 |         79 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\charts\chart_axis.py                                             | Python           |         78 |          9 |         20 |        107 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\charts\chart_axis_label.py                                       | Python           |         41 |          5 |         12 |         58 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\charts\chart_grid_lines.py                                       | Python           |          9 |          0 |          3 |         12 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\charts\chart_point_line.py                                       | Python           |          8 |          0 |          3 |         11 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\charts\chart_point_shape.py                                      | Python           |         26 |          0 |          9 |         35 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\charts\line_chart.py                                             | Python           |        285 |         24 |         57 |        366 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\charts\line_chart_data.py                                        | Python           |        191 |         22 |         47 |        260 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\charts\line_chart_data_point.py                                  | Python           |        135 |         15 |         34 |        184 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\charts\pie_chart.py                                              | Python           |        151 |         12 |         27 |        190 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\charts\pie_chart_section.py                                      | Python           |        104 |         12 |         27 |        143 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\checkbox.py                                                      | Python           |        233 |         18 |         44 |        295 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\chip.py                                                          | Python           |        322 |         27 |         68 |        417 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\circle_avatar.py                                                 | Python           |        190 |         17 |         33 |        240 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\client_storage.py                                                | Python           |         87 |          0 |         15 |        102 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\clipboard.py                                                     | Python           |         38 |          0 |         12 |         50 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\colors.py                                                        | Python           |        338 |         30 |         11 |        379 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\column.py                                                        | Python           |        190 |         13 |         34 |        237 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\connection.py                                                    | Python           |         30 |          0 |         11 |         41 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\constrained_control.py                                           | Python           |        195 |         21 |         42 |        258 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\container.py                                                     | Python           |        407 |         30 |         80 |        517 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\control.py                                                       | Python           |        384 |         25 |         94 |        503 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\control_event.py                                                 | Python           |          6 |          0 |          4 |         10 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\cupertino_checkbox.py                                            | Python           |        196 |         15 |         35 |        246 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\cupertino_navigation_bar.py                                      | Python           |        174 |         11 |         34 |        219 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\cupertino_radio.py                                               | Python           |        172 |         13 |         31 |        216 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\cupertino_slider.py                                              | Python           |        179 |         16 |         34 |        229 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\cupertino_switch.py                                              | Python           |        192 |         14 |         34 |        240 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\flet_core\datatable.py                                                     | Python           |        520 |         48 |        119 |        687 |
